WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;artefact:FRB.FOBJ3.SCAL.1034;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1042;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1042;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1258;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1155;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2055;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2055;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2056;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2056;producteur est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1297;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1286;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1286;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2047;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1252;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1252;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2031;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2201;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1324;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1324;producteur est vide
WARNING;Artefact:FRB.FOBJ4;libelle est vide
WARNING;Artefact:FRB.FOBJ4;date d'entrée est vide
WARNING;Artefact:FRB.FOBJ4;l'année de production est vide
WARNING;artefact:FRB.FOBJ4;localisation est vide
WARNING;artefact:FRB.FOBJ4;producteur est vide
WARNING;artefact:FRB.FOBJ4;etat est vide
WARNING;artefact:FRB.FOBJ4;la collection est vide
ERROR;artefact:V0000290.xml;Error 1064; ;1064 (42000): Erreur de syntaxe près de 'NULL,NULL,NULL,NULL,NULL,'',NULL,NULL,NULL,NULL)' à la ligne 1
